#,Hand,Root,ChordType,Texture,Name,ChordNotes,Fingering,BrokenOrder,KeyboardZone
43,Right hand,D,Minor,Solid,Right hand - D minor - solid,D–F–A,1-3-5,Press D+F+A together (even sound),Around/above middle C (start on D above middle C)
44,Right hand,D,Minor,Broken,Right hand - D minor - broken,D–F–A,1-3-5,D→F→A (repeat; optional back down A→F→D),Around/above middle C (start on D above middle C)
45,Right hand,D,Dominant7,Solid,Right hand - D7 - solid,D–F#–A–C,1-2-3-5,Press D+F#+A+C together (keep 2 light),Around/above middle C (start on D above middle C)
46,Right hand,D,Dominant7,Broken,Right hand - D7 - broken,D–F#–A–C,1-2-3-5,D→F#→A→C (repeat; optional back down C→A→F#→D),Around/above middle C (start on D above middle C)
47,Right hand,D,Diminished,Solid,Right hand - D dim - solid,D–F–Ab(G#),1-3-5,Press D+F+Ab together (don’t stiffen wrist),Around/above middle C (start on D above middle C)
48,Right hand,D,Diminished,Broken,Right hand - D dim - broken,D–F–Ab(G#),1-3-5,D→F→Ab (repeat; optional back down Ab→F→D),Around/above middle C (start on D above middle C)
49,Left hand,D#,Major,Solid,Left hand - D# major - solid,D#–F##(G)–A#,5-3-1,Press D#+G+A# together (release together),Below middle C (start on D#/Eb below middle C)
50,Left hand,D#,Major,Broken,Left hand - D# major - broken,D#–F##(G)–A#,5-3-1,D#→G→A# (repeat; optional back down A#→G→D#),Below middle C (start on D#/Eb below middle C)
51,Left hand,D#,Minor,Solid,Left hand - D# minor - solid,D#–F#–A#,5-3-1,Press D#+F#+A# together (release together),Below middle C (start on D#/Eb below middle C)
52,Left hand,D#,Minor,Broken,Left hand - D# minor - broken,D#–F#–A#,5-3-1,D#→F#→A# (repeat; optional back down A#→F#→D#),Below middle C (start on D#/Eb below middle C)
53,Left hand,D#,Dominant7,Solid,Left hand - D#7 - solid,D#–F##(G)–A#–C#,5-3-2-1,Press D#+G+A#+C# together (keep hand relaxed),Below middle C (start on D#/Eb below middle C)
54,Left hand,D#,Dominant7,Broken,Left hand - D#7 - broken,D#–F##(G)–A#–C#,5-3-2-1,D#→G→A#→C# (repeat; optional back down C#→A#→G→D#),Below middle C (start on D#/Eb below middle C)
55,Left hand,D#,Diminished,Solid,Left hand - D# dim - solid,D#–F#–A,5-3-1,Press D#+F#+A together (tight color; release together),Below middle C (start on D#/Eb below middle C)
56,Left hand,D#,Diminished,Broken,Left hand - D# dim - broken,D#–F#–A,5-3-1,D#→F#→A (repeat; optional back down A→F#→D#),Below middle C (start on D#/Eb below middle C)
57,Right hand,D#,Major,Solid,Right hand - D# major - solid,D#–F##(G)–A#,1-3-5,Press D#+G+A# together (even sound),Around/above middle C (start on D#/Eb above middle C)
58,Right hand,D#,Major,Broken,Right hand - D# major - broken,D#–F##(G)–A#,1-3-5,D#→G→A# (repeat; optional back down A#→G→D#),Around/above middle C (start on D#/Eb above middle C)
59,Right hand,D#,Minor,Solid,Right hand - D# minor - solid,D#–F#–A#,1-3-5,Press D#+F#+A# together (even sound),Around/above middle C (start on D#/Eb above middle C)
60,Right hand,D#,Minor,Broken,Right hand - D# minor - broken,D#–F#–A#,1-3-5,D#→F#→A# (repeat; optional back down A#→F#→D#),Around/above middle C (start on D#/Eb above middle C)
61,Right hand,D#,Dominant7,Solid,Right hand - D#7 - solid,D#–F##(G)–A#–C#,1-2-3-5,Press D#+G+A#+C# together (keep 2 light),Around/above middle C (start on D#/Eb above middle C)
62,Right hand,D#,Dominant7,Broken,Right hand - D#7 - broken,D#–F##(G)–A#–C#,1-2-3-5,D#→G→A#→C# (repeat; optional back down C#→A#→G→D#),Around/above middle C (start on D#/Eb above middle C)
63,Right hand,D#,Diminished,Solid,Right hand - D# dim - solid,D#–F#–A,1-3-5,Press D#+F#+A together (don’t stiffen wrist),Around/above middle C (start on D#/Eb above middle C)
64,Right hand,D#,Diminished,Broken,Right hand - D# dim - broken,D#–F#–A,1-3-5,D#→F#→A (repeat; optional back down A→F#→D#),Around/above middle C (start on D#/Eb above middle C)
65,Left hand,E,Major,Solid,Left hand - E major - solid,E–G#–B,5-3-1,Press E+G#+B together (release together),Below middle C (start on E below middle C)
66,Left hand,E,Major,Broken,Left hand - E major - broken,E–G#–B,5-3-1,E→G#→B (repeat; optional back down B→G#→E),Below middle C (start on E below middle C)
67,Left hand,E,Minor,Solid,Left hand - E minor - solid,E–G–B,5-3-1,Press E+G+B together (release together),Below middle C (start on E below middle C)
68,Left hand,E,Minor,Broken,Left hand - E minor - broken,E–G–B,5-3-1,E→G→B (repeat; optional back down B→G→E),Below middle C (start on E below middle C)
69,Left hand,E,Dominant7,Solid,Left hand - E7 - solid,E–G#–B–D,5-3-2-1,Press E+G#+B+D together (keep hand relaxed),Below middle C (start on E below middle C)
70,Left hand,E,Dominant7,Broken,Left hand - E7 - broken,E–G#–B–D,5-3-2-1,E→G#→B→D (repeat; optional back down D→B→G#→E),Below middle C (start on E below middle C)
71,Left hand,E,Diminished,Solid,Left hand - E dim - solid,E–G–Bb(A#),5-3-1,Press E+G+Bb together (tight color; release together),Below middle C (start on E below middle C)
72,Left hand,E,Diminished,Broken,Left hand - E dim - broken,E–G–Bb(A#),5-3-1,E→G→Bb (repeat; optional back down Bb→G→E),Below middle C (start on E below middle C)
73,Right hand,E,Major,Solid,Right hand - E major - solid,E–G#–B,1-3-5,Press E+G#+B together (even sound),Around/above middle C (start on E above middle C)
74,Right hand,E,Major,Broken,Right hand - E major - broken,E–G#–B,1-3-5,E→G#→B (repeat; optional back down B→G#→E),Around/above middle C (start on E above middle C)
75,Right hand,E,Minor,Solid,Right hand - E minor - solid,E–G–B,1-3-5,Press E+G+B together (even sound),Around/above middle C (start on E above middle C)
76,Right hand,E,Minor,Broken,Right hand - E minor - broken,E–G–B,1-3-5,E→G→B (repeat; optional back down B→G→E),Around/above middle C (start on E above middle C)
77,Right hand,E,Dominant7,Solid,Right hand - E7 - solid,E–G#–B–D,1-2-3-5,Press E+G#+B+D together (keep 2 light),Around/above middle C (start on E above middle C)
78,Right hand,E,Dominant7,Broken,Right hand - E7 - broken,E–G#–B–D,1-2-3-5,E→G#→B→D (repeat; optional back down D→B→G#→E),Around/above middle C (start on E above middle C)
79,Right hand,E,Diminished,Solid,Right hand - E dim - solid,E–G–Bb(A#),1-3-5,Press E+G+Bb together (don’t stiffen wrist),Around/above middle C (start on E above middle C)
80,Right hand,E,Diminished,Broken,Right hand - E dim - broken,E–G–Bb(A#),1-3-5,E→G→Bb (repeat; optional back down Bb→G→E),Around/above middle C (start on E above middle C)
81,Left hand,F,Major,Solid,Left hand - F major - solid,F–A–C,5-3-1,Press F+A+C together (release together),Below middle C (start on F below middle C)
82,Left hand,F,Major,Broken,Left hand - F major - broken,F–A–C,5-3-1,F→A→C (repeat; optional back down C→A→F),Below middle C (start on F below middle C)
83,Left hand,F,Minor,Solid,Left hand - F minor - solid,F–Ab(G#)–C,5-3-1,Press F+Ab+C together (release together),Below middle C (start on F below middle C)
84,Left hand,F,Minor,Broken,Left hand - F minor - broken,F–Ab(G#)–C,5-3-1,F→Ab→C (repeat; optional back down C→Ab→F),Below middle C (start on F below middle C)
85,Left hand,F,Dominant7,Solid,Left hand - F7 - solid,F–A–C–Eb(D#),5-3-2-1,Press F+A+C+Eb together (keep hand relaxed),Below middle C (start on F below middle C)
86,Left hand,F,Dominant7,Broken,Left hand - F7 - broken,F–A–C–Eb(D#),5-3-2-1,F→A→C→Eb (repeat; optional back down Eb→C→A→F),Below middle C (start on F below middle C)
87,Left hand,F,Diminished,Solid,Left hand - F dim - solid,F–Ab(G#)–B,5-3-1,Press F+Ab+B together (tight color; release together),Below middle C (start on F below middle C)
88,Left hand,F,Diminished,Broken,Left hand - F dim - broken,F–Ab(G#)–B,5-3-1,F→Ab→B (repeat; optional back down B→Ab→F),Below middle C (start on F below middle C)
89,Right hand,F,Major,Solid,Right hand - F major - solid,F–A–C,1-3-5,Press F+A+C together (even sound),Around/above middle C (start on F above middle C)
90,Right hand,F,Major,Broken,Right hand - F major - broken,F–A–C,1-3-5,F→A→C (repeat; optional back down C→A→F),Around/above middle C (start on F above middle C)
91,Right hand,F,Minor,Solid,Right hand - F minor - solid,F–Ab(G#)–C,1-3-5,Press F+Ab+C together (even sound),Around/above middle C (start on F above middle C)
92,Right hand,F,Minor,Broken,Right hand - F minor - broken,F–Ab(G#)–C,1-3-5,F→Ab→C (repeat; optional back down C→Ab→F),Around/above middle C (start on F above middle C)
93,Right hand,F,Dominant7,Solid,Right hand - F7 - solid,F–A–C–Eb(D#),1-2-3-5,Press F+A+C+Eb together (keep 2 light),Around/above middle C (start on F above middle C)
94,Right hand,F,Dominant7,Broken,Right hand - F7 - broken,F–A–C–Eb(D#),1-2-3-5,F→A→C→Eb (repeat; optional back down Eb→C→A→F),Around/above middle C (start on F above middle C)
95,Right hand,F,Diminished,Solid,Right hand - F dim - solid,F–Ab(G#)–B,1-3-5,Press F+Ab+B together (don’t stiffen wrist),Around/above middle C (start on F above middle C)
96,Right hand,F,Diminished,Broken,Right hand - F dim - broken,F–Ab(G#)–B,1-3-5,F→Ab→B (repeat; optional back down B→Ab→F),Around/above middle C (start on F above middle C)
97,Left hand,F#,Major,Solid,Left hand - F# major - solid,F#–A#–C#,5-3-1,Press F#+A#+C# together (release together),Below middle C (start on F# below middle C)
98,Left hand,F#,Major,Broken,Left hand - F# major - broken,F#–A#–C#,5-3-1,F#→A#→C# (repeat; optional back down C#→A#→F#),Below middle C (start on F# below middle C)
99,Left hand,F#,Minor,Solid,Left hand - F# minor - solid,F#–A–C#,5-3-1,Press F#+A+C# together (release together),Below middle C (start on F# below middle C)
100,Left hand,F#,Minor,Broken,Left hand - F# minor - broken,F#–A–C#,5-3-1,F#→A→C# (repeat; optional back down C#→A→F#),Below middle C (start on F# below middle C)
101,Left hand,F#,Dominant7,Solid,Left hand - F#7 - solid,F#–A#–C#–E,5-3-2-1,Press F#+A#+C#+E together (keep hand relaxed),Below middle C (start on F# below middle C)
102,Left hand,F#,Dominant7,Broken,Left hand - F#7 - broken,F#–A#–C#–E,5-3-2-1,F#→A#→C#→E (repeat; optional back down E→C#→A#→F#),Below middle C (start on F# below middle C)
103,Left hand,F#,Diminished,Solid,Left hand - F# dim - solid,F#–A–C,5-3-1,Press F#+A+C together (tight color; release together),Below middle C (start on F# below middle C)
104,Left hand,F#,Diminished,Broken,Left hand - F# dim - broken,F#–A–C,5-3-1,F#→A→C (repeat; optional back down C→A→F#),Below middle C (start on F# below middle C)
105,Right hand,F#,Major,Solid,Right hand - F# major - solid,F#–A#–C#,1-3-5,Press F#+A#+C# together (even sound),Around/above middle C (start on F# above middle C)
106,Right hand,F#,Major,Broken,Right hand - F# major - broken,F#–A#–C#,1-3-5,F#→A#→C# (repeat; optional back down C#→A#→F#),Around/above middle C (start on F# above middle C)
107,Right hand,F#,Minor,Solid,Right hand - F# minor - solid,F#–A–C#,1-3-5,Press F#+A+C# together (even sound),Around/above middle C (start on F# above middle C)
108,Right hand,F#,Minor,Broken,Right hand - F# minor - broken,F#–A–C#,1-3-5,F#→A→C# (repeat; optional back down C#→A→F#),Around/above middle C (start on F# above middle C)
109,Right hand,F#,Dominant7,Solid,Right hand - F#7 - solid,F#–A#–C#–E,1-2-3-5,Press F#+A#+C#+E together (keep 2 light),Around/above middle C (start on F# above middle C)
110,Right hand,F#,Dominant7,Broken,Right hand - F#7 - broken,F#–A#–C#–E,1-2-3-5,F#→A#→C#→E (repeat; optional back down E→C#→A#→F#),Around/above middle C (start on F# above middle C)
111,Right hand,F#,Diminished,Solid,Right hand - F# dim - solid,F#–A–C,1-3-5,Press F#+A+C together (don’t stiffen wrist),Around/above middle C (start on F# above middle C)
112,Right hand,F#,Diminished,Broken,Right hand - F# dim - broken,F#–A–C,1-3-5,F#→A→C (repeat; optional back down C→A→F#),Around/above middle C (start on F# above middle C)
113,Left hand,G,Major,Solid,Left hand - G major - solid,G–B–D,5-3-1,Press G+B+D together (release together),Below middle C (start on G below middle C)
114,Left hand,G,Major,Broken,Left hand - G major - broken,G–B–D,5-3-1,G→B→D (repeat; optional back down D→B→G),Below middle C (start on G below middle C)
115,Left hand,G,Minor,Solid,Left hand - G minor - solid,G–Bb(A#)–D,5-3-1,Press G+Bb+D together (release together),Below middle C (start on G below middle C)
116,Left hand,G,Minor,Broken,Left hand - G minor - broken,G–Bb(A#)–D,5-3-1,G→Bb→D (repeat; optional back down D→Bb→G),Below middle C (start on G below middle C)
117,Left hand,G,Dominant7,Solid,Left hand - G7 - solid,G–B–D–F,5-3-2-1,Press G+B+D+F together (keep hand relaxed),Below middle C (start on G below middle C)
118,Left hand,G,Dominant7,Broken,Left hand - G7 - broken,G–B–D–F,5-3-2-1,G→B→D→F (repeat; optional back down F→D→B→G),Below middle C (start on G below middle C)
119,Left hand,G,Diminished,Solid,Left hand - G dim - solid,G–Bb(A#)–Db(C#),5-3-1,Press G+Bb+Db together (tight color; release together),Below middle C (start on G below middle C)
120,Left hand,G,Diminished,Broken,Left hand - G dim - broken,G–Bb(A#)–Db(C#),5-3-1,G→Bb→Db (repeat; optional back down Db→Bb→G),Below middle C (start on G below middle C)
121,Right hand,G,Major,Solid,Right hand - G major - solid,G–B–D,1-3-5,Press G+B+D together (even sound),Around/above middle C (start on G above middle C)
122,Right hand,G,Major,Broken,Right hand - G major - broken,G–B–D,1-3-5,G→B→D (repeat; optional back down D→B→G),Around/above middle C (start on G above middle C)
123,Right hand,G,Minor,Solid,Right hand - G minor - solid,G–Bb(A#)–D,1-3-5,Press G+Bb+D together (even sound),Around/above middle C (start on G above middle C)
124,Right hand,G,Minor,Broken,Right hand - G minor - broken,G–Bb(A#)–D,1-3-5,G→Bb→D (repeat; optional back down D→Bb→G),Around/above middle C (start on G above middle C)
125,Right hand,G,Dominant7,Solid,Right hand - G7 - solid,G–B–D–F,1-2-3-5,Press G+B+D+F together (keep 2 light),Around/above middle C (start on G above middle C)
126,Right hand,G,Dominant7,Broken,Right hand - G7 - broken,G–B–D–F,1-2-3-5,G→B→D→F (repeat; optional back down F→D→B→G),Around/above middle C (start on G above middle C)
127,Right hand,G,Diminished,Solid,Right hand - G dim - solid,G–Bb(A#)–Db(C#),1-3-5,Press G+Bb+Db together (don’t stiffen wrist),Around/above middle C (start on G above middle C)
128,Right hand,G,Diminished,Broken,Right hand - G dim - broken,G–Bb(A#)–Db(C#),1-3-5,G→Bb→Db (repeat; optional back down Db→Bb→G),Around/above middle C (start on G above middle C)
129,Left hand,G#,Major,Solid,Left hand - G# major - solid,G#–B#(C)–D#,5-3-1,Press G#+C+D# together (release together),Below middle C (start on G#/Ab below middle C)
130,Left hand,G#,Major,Broken,Left hand - G# major - broken,G#–B#(C)–D#,5-3-1,G#→C→D# (repeat; optional back down D#→C→G#),Below middle C (start on G#/Ab below middle C)
131,Left hand,G#,Minor,Solid,Left hand - G# minor - solid,G#–B–D#,5-3-1,Press G#+B+D# together (release together),Below middle C (start on G#/Ab below middle C)
132,Left hand,G#,Minor,Broken,Left hand - G# minor - broken,G#–B–D#,5-3-1,G#→B→D# (repeat; optional back down D#→B→G#),Below middle C (start on G#/Ab below middle C)
133,Left hand,G#,Dominant7,Solid,Left hand - G#7 - solid,G#–B#(C)–D#–F#,5-3-2-1,Press G#+C+D#+F# together (keep hand relaxed),Below middle C (start on G#/Ab below middle C)
134,Left hand,G#,Dominant7,Broken,Left hand - G#7 - broken,G#–B#(C)–D#–F#,5-3-2-1,G#→C→D#→F# (repeat; optional back down F#→D#→C→G#),Below middle C (start on G#/Ab below middle C)
135,Left hand,G#,Diminished,Solid,Left hand - G# dim - solid,G#–B–D,5-3-1,Press G#+B+D together (tight color; release together),Below middle C (start on G#/Ab below middle C)
136,Left hand,G#,Diminished,Broken,Left hand - G# dim - broken,G#–B–D,5-3-1,G#→B→D (repeat; optional back down D→B→G#),Below middle C (start on G#/Ab below middle C)
137,Right hand,G#,Major,Solid,Right hand - G# major - solid,G#–B#(C)–D#,1-3-5,Press G#+C+D# together (even sound),Around/above middle C (start on G#/Ab above middle C)
138,Right hand,G#,Major,Broken,Right hand - G# major - broken,G#–B#(C)–D#,1-3-5,G#→C→D# (repeat; optional back down D#→C→G#),Around/above middle C (start on G#/Ab above middle C)
139,Right hand,G#,Minor,Solid,Right hand - G# minor - solid,G#–B–D#,1-3-5,Press G#+B+D# together (even sound),Around/above middle C (start on G#/Ab above middle C)
140,Right hand,G#,Minor,Broken,Right hand - G# minor - broken,G#–B–D#,1-3-5,G#→B→D# (repeat; optional back down D#→B→G#),Around/above middle C (start on G#/Ab above middle C)
141,Right hand,G#,Dominant7,Solid,Right hand - G#7 - solid,G#–B#(C)–D#–F#,1-2-3-5,Press G#+C+D#+F# together (keep 2 light),Around/above middle C (start on G#/Ab above middle C)
142,Right hand,G#,Dominant7,Broken,Right hand - G#7 - broken,G#–B#(C)–D#–F#,1-2-3-5,G#→C→D#→F# (repeat; optional back down F#→D#→C→G#),Around/above middle C (start on G#/Ab above middle C)
143,Right hand,G#,Diminished,Solid,Right hand - G# dim - solid,G#–B–D,1-3-5,Press G#+B+D together (don’t stiffen wrist),Around/above middle C (start on G#/Ab above middle C)
144,Right hand,G#,Diminished,Broken,Right hand - G# dim - broken,G#–B–D,1-3-5,G#→B→D (repeat; optional back down D→B→G#),Around/above middle C (start on G#/Ab above middle C)
145,Left hand,A,Major,Solid,Left hand - A major - solid,A–C#–E,5-3-1,Press A+C#+E together (one clean attack  release together),Below middle C (start on A below middle C)
146,Left hand,A,Major,Broken,Left hand - A major - broken,A–C#–E,5-3-1,A→C#→E (repeat; optional back down E→C#→A),Below middle C (start on A below middle C)
147,Left hand,A,Minor,Solid,Left hand - A minor - solid,A–C–E,5-3-1,Press A+C+E together (one clean attack  release together),Below middle C (start on A below middle C)
148,Left hand,A,Minor,Broken,Left hand - A minor - broken,A–C–E,5-3-1,A→C→E (repeat; optional back down E→C→A),Below middle C (start on A below middle C)
149,Left hand,A,Dominant7,Solid,Left hand - A7 - solid,A–C#–E–G,5-3-2-1,Press A+C#+E+G together (keep hand relaxed; release together),Below middle C (start on A below middle C)
150,Left hand,A,Dominant7,Broken,Left hand - A7 - broken,A–C#–E–G,5-3-2-1,A→C#→E→G (repeat; optional back down G→E→C#→A),Below middle C (start on A below middle C)
151,Left hand,A,Diminished,Solid,Left hand - A dim - solid,A–C–Eb(D#),5-3-1,Press A+C+Eb together (tight  tense color; release together),Below middle C (start on A below middle C)
152,Left hand,A,Diminished,Broken,Left hand - A dim - broken,A–C–Eb(D#),5-3-1,A→C→Eb (repeat; optional back down Eb→C→A),Below middle C (start on A below middle C)
153,Right hand,A,Major,Solid,Right hand - A major - solid,A–C#–E,1-3-5,Press A+C#+E together (even sound across fingers),Around/above middle C (start on A above middle C)
154,Right hand,A,Major,Broken,Right hand - A major - broken,A–C#–E,1-3-5,A→C#→E (repeat; optional back down E→C#→A),Around/above middle C (start on A above middle C)
155,Right hand,A,Minor,Solid,Right hand - A minor - solid,A–C–E,1-3-5,Press A+C+E together (even sound across fingers),Around/above middle C (start on A above middle C)
156,Right hand,A,Minor,Broken,Right hand - A minor - broken,A–C–E,1-3-5,A→C→E (repeat; optional back down E→C→A),Around/above middle C (start on A above middle C)
157,Right hand,A,Dominant7,Solid,Right hand - A7 - solid,A–C#–E–G,1-2-3-5,Press A+C#+E+G together (keep 2 on C# light),Around/above middle C (start on A above middle C)
158,Right hand,A,Dominant7,Broken,Right hand - A7 - broken,A–C#–E–G,1-2-3-5,A→C#→E→G (repeat; optional back down G→E→C#→A),Around/above middle C (start on A above middle C)
159,Right hand,A,Diminished,Solid,Right hand - A dim - solid,A–C–Eb(D#),1-3-5,Press A+C+Eb together (don’t let wrist stiffen),Around/above middle C (start on A above middle C)
160,Right hand,A,Diminished,Broken,Right hand - A dim - broken,A–C–Eb(D#),1-3-5,A→C→Eb (repeat; optional back down Eb→C→A),Around/above middle C (start on A above middle C)
161,Left hand,A#,Major,Solid,Left hand - A# major - solid,A#–D–F,5-3-1,Press A#+D+F together (release together),Below middle C (start on A#/Bb below middle C)
162,Left hand,A#,Major,Broken,Left hand - A# major - broken,A#–D–F,5-3-1,A#→D→F (repeat; optional back down F→D→A#),Below middle C (start on A#/Bb below middle C)
163,Left hand,A#,Minor,Solid,Left hand - A# minor - solid,A#–C#–F,5-3-1,Press A#+C#+F together (release together),Below middle C (start on A#/Bb below middle C)
164,Left hand,A#,Minor,Broken,Left hand - A# minor - broken,A#–C#–F,5-3-1,A#→C#→F (repeat; optional back down F→C#→A#),Below middle C (start on A#/Bb below middle C)
